id,product_name,category,subcategory,material,color,price,availability,description,product_url,image_url
11,Hapuku 40mm Maple wood & Leaf,Women Watches,Watches,black colored maple wood and stainless steel in black,genuine and colored poplar fig leaf with a fine grain,299.0,Available,"Our Hapuku model is inspired by life between heaven and earth and owes its name to the tree house of the same name in New Zealand. As special as its namesake, is the dial made with genuine poplar fig leaf. The individual structures and shapes give Hapuku its unique look and make each piece a one-of-a-kind. In addition, you can enjoy a comfortable wearing experience, which is created by the natural feel of maple wood. EAN: # 9010631016999",https://www.world.holzkern.com/en_world/hapuku-maplewood-leaf.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/1/_/1_q_231011_hapuku__cv_11_1.jpg
12,Excellencia 24mm Nacre & Rose Gold,Women Watches,Watches,,Genuine white nacre,199.0,Available,"Many of us have the goal to reach excellence in at least one area, to achieve brilliant results and to be considered the best in our chosen field. Dedication and ambition are required if we want to stand above the crowd in the pursuit of our passions. Our model made from nacre and stainless steel should empower you to always stay focused, even when things may appear difficult. EAN: # 9010631007089",https://www.world.holzkern.com/en_world/excellencia-nacre-rose-gold.html,https://www.world.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/1/_/1_20210907_q_excellencia_fa_18_kopie.jpg
13,Rilke 40mm Walnut & Walnut,Women Watches,Watches,walnut wood,Walnut wood with a fine grain,189.0,Available,"“Love consists of this: two solitudes that meet, protect and greet each other.” Rainer Maria Rilke EAN: # 9120078335642",https://www.world.holzkern.com/en_world/rilke-walnut-walnut.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/2/0/20221221_lyrik_rilke_sk-16.jpg
14,Kaleidoscopic 36mm Nacre & Koa,Women Watches,Watches,stainless steel in rose gold,Genuine white mother-of-pearl,479.0,Available,"Discover our first wristwatch with a flower in the dial! The view of the clockwork of our Kaleidoscopic automatic watch is based on our popular Composition jewelry collection and adds a touch of feminine playfulness to the elegant design made of iridescent mother-of-pearl, rose gold-plated stainless steel and fine koa wood. EAN: # 9010631020385",https://www.world.holzkern.com/en_world/kaleidoscopic-nacre-koa.html,https://www.world.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/q/1/q1_20241119_kaleidoscopic_perlmutt_koa_sk_23_1.jpg
15,Colorburst 36mm Nacre & Walnut,Women Watches,Watches,stainless steel in silver,Unique mosaic of green nacre,499.0,Available,"Discover the dreamy combination of nacre and walnut wood! With its color combination of silver, green, and brown, our unique Colorburst is an incredibly elegant contemporary. Iridescent nacre adds an extra touch of luxury to the simple elegance of automatic and wood and is guaranteed to attract everyone's attention! An enchanting sight unfolds in the kaleidoscope. Crystals, mirrors, and light create artistic patterns and transport you into a vibrant world full of color, fantasy, and fascination. EAN: # 9010631017040",https://www.world.holzkern.com/en_world/colorburst-nacre-walnut.html,https://www.world.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/1/_/1_122823_1_q_colorburst_fa13.jpg
16,Shiny 36mm Nacre & Ceramic,Women Watches,Watches,stainless steel in rose gold,Genuine white nacre,349.0,Available,"Look Good. Feel Good. Do Good. Indulge yourself and look fabulous while you’re at it! Your Shiny model combines robust stainless steel with high-quality ceramic for maximum durability. Lightweight and waterproof, your new timepiece will help you enjoy your day to the fullest and add an exciting accessory to your outfits. You can find more features of your Shiny model in the specifications! EAN: # 9010631016418",https://www.world.holzkern.com/en_world/shiny-nacre-ceramic.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/1/_/1_q_230921_shiny_fa_0001.jpg
17,Costa del Sol 29mm Koa & Tiger's Eye,Women Watches,Watches,koa wood,Genuine Tiger’s Eye,199.0,Available,320 Days of Sunlight – in southern Spain the sun shines bright almost every day of the year upon the numerous beaches that welcome people from around the world to stop by and relax for a while. Our timepiece made of bright koa wood and genuine Tiger’s Eye should shine a bit of light in your daily life EAN: # 9010631017378,https://www.world.holzkern.com/en_world/costadelsol-koa-tigerseye-1.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/2/3/231206_q_costa_del_sol_fa_1.jpg
18,Sunglister 34mm Green mother-of-pearl & Rose gold,Women Watches,Watches,green mother-of-pearl and stainless steel in rose gold,Green mother-of-pearl with a fine shimmer,399.0,Available,"Solar Chic - Sunglister solar watch made of mother-of-pearl. Discover a sparkle you have never seen before in the first timepiece with mother-of-pearl in the dial, case AND strap! Combined with rose gold-plated stainless steel and an innovative solar movement, Sunglister unites style, nature and the power of the sun - perfect for your most radiant moments. EAN: # 9010631019594",https://www.world.holzkern.com/en_world/sunglister-greenmother-of-pearl-rosegold.html,https://www.world.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/2/4/241219_1_q_sunglister_gru_nes_perlmutt_rose_fa_5.jpg
19,Sunglister 34mm White mother-of-pearl & Gold,Women Watches,Watches,white mother-of-pearl and stainless steel in gold,White mother-of-pearl with a fine shimmer,399.0,Available,"Solar Chic - Sunglister solar watch made of mother-of-pearl. Discover a sparkle you have never seen before in the first timepiece with mother-of-pearl in the dial, case AND strap! Combined with golden stainless steel and an innovative solar movement, Sunglister unites style, nature and the power of the sun - perfect for your most radiant moments. EAN: # 9010631019587",https://www.world.holzkern.com/en_world/sunglister-whitemother-of-pearl-gold.html,https://www.world.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/2/4/241219_1_q_sunglister_weisses_perlmutt_gold_fa_7.jpg
20,Spring Evening 40mm Walnut & Leadwood,Women Watches,Watches,walnut wood,leadwood with a fine texture,199.0,Available,The spring sun has just set below the horizon and darkness has begun to eat away at the final rays of sunlight. The night's milder climate signals the beginning of warmer times. May this wonderful combination of walnut and black sandalwood remind you of a perfect spring evening. EAN: # 9120078332719,https://www.world.holzkern.com/en_world/springevening-walnut-leadwood.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/1/_/1_211210_fru_hlingsabend_q_sw_24.jpg
21,Laura 28mm Zebrawood & Oak,Women Watches,Watches,,,149.0,Available,"A delicate yet functional watch made from stainless steel in gold, distinctive zebrawood with a unique striped pattern, and light oak wood . Named after Laura Dekker, who sailed solo around the world when she was just 14 years old, this timepiece will serve as your reliable companion in your own adventures. EAN: # 9120078339022",https://www.world.holzkern.com/en_world/laura-zebrawood-oak.html,https://www.world.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/q/_/q_230615_laura_fa213.jpg
22,Auctoritas 24mm Nacre & Gold,Women Watches,Watches,,Genuine black nacre,199.0,Available,Many people desire power and influence. What’s important is that these positions are applied correctly and have a positive effect on the world. Our model Auctoritas should support you to recognize your personal potential. There are definitely many means and ways by which you can help make the world a better place. EAN: # 9010631007072,https://www.world.holzkern.com/en_world/auctoritas-nacre-gold.html,https://www.world.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/6/_/6_20210907_q_auctoritas_fa_29.jpg
23,Cristals 36mm Nacre & Ceramic,Women Watches,Watches,stainless steel in silver,Unique mosaic of white nacre,549.0,Available,"Discover the dreamy combination of nacre and ceramic! With its color combination of silver, white and gold, our unique Cristals is an incredibly elegant contemporary. Iridescent nacre adds an extra touch of luxury to the simple elegance of automatic and ceramic and is guaranteed to attract everyone's attention! An enchanting sight unfolds in the kaleidoscope. Crystals, mirrors, and light create artistic patterns and transport you into a vibrant world full of color, fantasy, and fascination. EAN: # 9010631017019",https://www.world.holzkern.com/en_world/cristals-nacre-ceramic.html,https://www.world.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/1/_/1_122823_1_q_cristals_fa12.jpg
24,Napali 29mm Amaranth & Nacre,Women Watches,Watches,fine amaranth,Pure rose nacre,179.0,Available,"Situated on the North Shore of Kauai, the Napali Coast offers a marvelous view upon the endless Pacific Ocean. From cliffs that are more then 1000 meters high, waterfalls plunge down into the steep and narrow valleys that have retained their natural beauty ever since Hawaiian settlers discovered the area several hundred years ago. Get yourself a daily reminder of this magical place with our unique model Napali made of amaranth and a rose nacre dial. EAN: # 9010631017347",https://www.world.holzkern.com/en_world/napali-amaranth-nacre-1.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/2/3/231206_1_q_napali_fa_3_1.jpg
25,Teresa 28mm Lapis Lazuli & Silver,Women Watches,Watches,,Genuine lapis lazuli,179.0,Available,"Mother Teresa became world famous for her work with the poor, the homeless and those living on the edge of subsistence. She was honored with the Nobel Peace Prize for her tireless work in 1979. Our model made from blue lapis lazuli and stainless steel in silver is dedicated to this truly amazing woman, and should remind you daily to accomplish positive contributions for our shared future. EAN: # 9010631003616",https://www.world.holzkern.com/en_world/teresa-lapislazuli-silver.html,https://www.world.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/1/_/1_210519_teresa_fa_q_3_copy.jpg
26,Piccolo 34mm Nacre & Silver,Women Watches,Watches,,Genuine white mother of pearl,249.0,Available,"To us, to being together, to the beautiful day! With the cheerful clinking of champagne glasses, the buffet has opened and brunch can begin. Our unique Pikkolo provides you with happiness and joy every day, even if the sky remains gray. Let silver stainless steel and iridescent nacre sweeten your day as you set new trends with a natural timepiece featuring a milanaise bracelet! EAN: # 9010631010508",https://www.world.holzkern.com/en_world/piccolo-nacre-silver.html,https://www.world.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/1/_/1_q_top_20230317_pikkolo_perlmutt_silber_sk_13.jpg
27,Hesse 40mm Walnut & Walnut,Women Watches,Watches,walnut wood,Walnut wood with a fine grain,189.0,Available,“Learn what is to be taken seriously and laugh at the rest.” Hermann Hesse EAN: # 9120078337004,https://www.world.holzkern.com/en_world/hesse-walnut-walnut.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/q/_/q_210903_hesse_rf_02.jpg
28,Anakena 29mm Walnut & Marble,Women Watches,Watches,walnut,"Genuine, green marble",199.0,Available,"Behind green palm trees and mysterious stone sculptures from ancient times, the great blue ocean tells the mystical tales of the Easter Islands. Inspired by this incredible coastal strip, our timepiece made of walnut and green marble is dedicated to the perhaps most mysterious island in the Pacific Ocean. EAN: # 9010631017392",https://www.world.holzkern.com/en_world/anakena-walnut-marble-1.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/2/3/231206_q_anakena_fa_1.jpg
29,Earth 32mm Zebrawood & Maple,Women Watches,Watches,Zebrawood,Inked maple with a fine texture,189.0,Available,"Unobtrusive in shades of brown, the soil quietly does its work. Animals, plants, and natural resources are not everything we obtain from her during our lifetimes. It's worthwhile to take a step back for a moment and appreciate the fact that at the end of our days, we will become a part of the Earth after having taken something from it every single day of our lives. Treat her well. EAN: # 9010631014766",https://www.world.holzkern.com/en_world/earth-zebrawood-maple.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/2/0/200527_erde_ahorn_zebrano_2.jpg
30,Sunnyside 34mm Nacre & Gold,Women Watches,Watches,,Genuine green nacre,249.0,Available,"Whether you think of Sunnyside as a spot in the sun or the perfectly runny egg, neither should be missing from your brunch. Our one-of-a-kind Sunnyside provides you with sun, light and warmth every day, even when the sky remains gray. Let golden stainless steel and iridescent nacre sweeten your day as you set new trends with a natural timepiece featuring a milanaise bracelet! EAN: # 9010631010492",https://www.world.holzkern.com/en_world/sunnyside-nacre-gold.html,https://www.world.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/1/_/1_q_top_20230317_sunnyside_perlmutt_gold_10.jpg
31,Summer Night 40mm Maple & Marble,Women Watches,Watches,inked maple wood,genuine black marble,249.0,Available,"Ice-cold beer in the cooler, the tantalizing scent of a barbecue in action, and the laughter of friends all while watching the sun set below the horizon. Experience the memories of a perfect summer night once more with a beautiful combination of inked maple wood and black marble. EAN: # 9010631018887",https://www.world.holzkern.com/en_world/summer-night-maple-marble.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/s/o/sommernacht_holzkern_holzuhr_woodwatch_fa_100320q_7_1_1.jpg
32,Ida 28mm Walnut & Marble,Women Watches,Watches,,Genuine white marble,199.0,Available,"The austrian explorer, Ida Pfeiffer, fearlessly travelled to the most remote corners of the globe and made acquaintances even with cannibals. Our watch Ida sports a case in rose gold stainless steel, a rich brown walnut wood and a uniquely grained marble. The slim band is made of genuine brown leather. EAN: # 9120078336892",https://www.world.holzkern.com/en_world/ida-walnut-marble.html,https://www.world.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/q/_/q_230615_ida_fa201.jpg
33,BIG SUR 29mm Maple & Nacre,Women Watches,Watches,fine maple wood,Pure blue nacre,179.0,Available,"Majestic forests veiled by the mist of the sea cover the mountainous landscape that meets the blue and white ocean spray at the edge of the rocky shore. Mighty Blue whales breach along the coastline as the condors and falcons hunt for a meal on the beach. Our model Big Sur is dedicated to the longest and most scenic stretch of undeveloped coastline in the contiguous U.S. Thanks to its protected status, the silencing beauty of this unique place along the Californian coast provides one with incredible sights both during the day and among the stars above the Pacific amidst a clear night's sky. EAN: # 9010631017354",https://www.world.holzkern.com/en_world/bigsur-leadwood-nacre-1.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/1/_/1_q_big_sur_fa_3.jpg
34,Winter Night 40mm Maple & Marble,Women Watches,Watches,inked maple wood,genuine black marble,199.0,Available,"Oppressive silence. The world is submerged in darkness, only interrupted by the silvery reflections of moonlight bouncing off a landscape covered in a cold blanket of snow. You take a deep breath of crisp winter air and enjoy the moment by yourself. EAN: # 9010631017989",https://www.world.holzkern.com/en_world/winternight-maple-marble.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/q/1/q1_9010631017989.jpg
35,Fatima 28mm Walnut & Nacre,Women Watches,Watches,,Genuine blue nacre,249.0,Available,"The hand of Fatima is, above all, a widespread symbol in Islamic culture and is worn by many people in order to keep negativity at bay. Our elegant timepiece, made from iridescent nacre and featuring innovative solar-powered movement, should catch the sun’s rays for you and impart an awareness of how lucky you are every single day. EAN: # 9010631000790",https://www.world.holzkern.com/en_world/fatima-walnut-nacre.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/2/1/210115_fatima_fa_q_10.jpg
36,Tumi 28mm Olive & Nacre,Women Watches,Watches,,Genuine blue nacre,249.0,Available,"Tumi refers to an antique gold-plated knife which was, in earlier times, a precious burial object in Peru, and is today considered a lucky charm to help enjoy a good life. Our elegant timepiece, made from iridescent nacre and featuring innovative solar-powered movement, should catch the sun’s rays for you and impart an awareness of how lucky you are every single day. EAN: # 9010631000769",https://www.world.holzkern.com/en_world/tumi-olive-nacre.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/2/1/210115_tumi_fa_q_17.jpg
37,Wangari 28mm Zebrawood & Gold,Women Watches,Watches,,Fine-grained zebrawood,149.0,Available,"In 2004, Wangari Maathai was the first African woman to receive the Nobel Peace Prize. She is famous, among other things, for her “Green Belt Movement” reforestation program. Our model made from zebrawood and stainless steel in gold is dedicated to this truly amazing woman, and should remind you daily to accomplish positive contributions for our shared future. EAN: # 9010631003630",https://www.world.holzkern.com/en_world/wangari-zebrawood-gold.html,https://www.world.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/1/_/1_210510_wangari_fa_q_19_copy.jpg
38,Sapientia 24mm Nacre & Rose Gold,Women Watches,Watches,,Genuine blue nacre,199.0,Available,"Wisdom is the ability to find the most clever solution to a problem. The path to reach this is long, but those who learn from experience and stay attentive will be rewarded with wisdom. Let yourself be inspired by our model Sapientia, made from nacre and stainless steel, to approach life with open eyes and gather the positive benefits of every experience. EAN: # 9010631007058",https://www.world.holzkern.com/en_world/sapientia-nacre-rose-gold.html,https://www.world.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/1/_/1_20210907_q_sapientia_fa_11_kopie.jpg
39,Cinque Terre 28mm Cherrywood & Nacre,Women Watches,Watches,cherrywood,Pure rose nacre,179.0,Available,"Meaning ""Five Lands"", Cinque Terre is comprised of five small coastal fishing villages located in the rugged Ligurian region of Italy. The Ligurian coast has some of the most dramatic coastal scenery one could ask for with uniquely constructed terraces built atop steep cliffs that overlook the sea; all this made only more picturesque by the lack of cars and corporate development. In an attempt to emulate the unique charm of Cinque Terre this model features a case made of cherrywood, a dial made of pure rose nacre, and a genuine leather wristband in cinnamon-brown. EAN: # 9120078330616",https://www.world.holzkern.com/en_world/cinqueterre-cherrywood-pearl.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/1/_/1_220406_cinque_terre_fa_1.jpg
40,Balos 29mm Zebrawood & Marble,Women Watches,Watches,fine zebrawood,"Genuine, blue marble",199.0,Available,A magical interplay of blue and turquoise color tones occurs where the Balos Bay and the Gramvousa Lagoon meet. Our timepiece made of zebrawood and blue marble is meant to be your daily reminder of this sensual sight on the Greek island of Crete. EAN: # 9010631017385,https://www.world.holzkern.com/en_world/balos-zebrawood-marble-1.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/1/_/1_231206_1_q_balos_fa_3.jpg
41,Côte d’Azur 29mm Walnut & Nacre,Women Watches,Watches,fine walnut wood,Pure blue nacre,129.0,Available,"Saint-Tropez, Cannes, Antibes, Nice, Monaco — just a few of the chic spots to stop along the luxurious French Mediterranean coast. This model features a case made of fine walnut wood with a distinct dial made of blue nacre to remind the wearer of the opulent history of the French Riviera, a premier vacation Europe's elite and one of the most beautiful coastal areas in the world. EAN: # 9010631020644",https://www.world.holzkern.com/en_world/cotedazur-walnuss-perlmutt-1.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/2/0/20250102_q_cotedazur_nvb-01.jpg
42,Calina 38mm Maple & Marble,Women Watches,Watches,inked maple and stainless steel in rose gold,"Genuine, gray marble",299.0,Available,"The term “Calina” refers to the dry and dusty haze over southern Spain. Most notable during summer, the blazing mid-day sun and grayish clouds of mist create an inimitable hazy atmosphere, which our model Calina is meant to illustrate with its unique color combination. EAN: # 9010631014704",https://www.world.holzkern.com/en_world/caline-maple-marble.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/2/0/200720_calina_13_5.jpg
43,Belvue 36mm Walnut & Walnut,Women Watches,Watches,brushed stainless steel in rose gold,Walnut wood with a fine grain,249.0,Available,"In the heart of Brussels, the history of Belgium can be experienced up close in the Belvue Museum. An enduring awareness for key themes like democracy and the environment are also focused on here. Our model made from walnut wood is dedicated to this inspiring place, and should encourage you to always learn something new wherever you go. EAN: # 9120078336014",https://www.world.holzkern.com/en_world/belvue-walnut-walnut.html,https://www.world.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/b/e/belvue1.2.jpg
44,Mauritius 36mm Amaranth & Nacre,Women Watches,Watches,amaranth and stainless steel,"Genuine, pink nacre",249.0,Available,"Mauritius is an island where the ocean shimmers in every color, where countless shades of green blend into each other and tall mountains meet flat beaches. A picturesque sight inviting you to dream. Our model of amaranth and elements made of golden stainless steel is dedicated to this unique island and should provide you with a moment of happiness whenever you check the time. EAN: # 9120078333013",https://www.world.holzkern.com/en_world/mauritius-amaranth-nacre.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/1/_/1_211119_mauritius_q_sw_4.jpg
45,ELIZA 32mm Marble & Rose Gold,Women Watches,Watches,,Genuine white marble,199.0,Available,"""Doricha eliza"" is a fascinating species of hummingbird that is native to the dry coastal regions of eastern Mexico. With her enchanting appearance, she is the perfect namesake for our Eliza Wristwatch made with unique marble and radiant rose gold. Let Eliza inspire you and give your outfit a gorgeous eye-catcher made with natural materials! EAN: # 9010631005061",https://www.world.holzkern.com/en_world/eliza-marble-rosegold.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/q/1/q1_9010631005061.jpg
46,Amelia 28mm Marblewood & Maple,Women Watches,Watches,,,149.0,Available,"A determined promoter of Egyptian archaeology, Amelia Edwards founded the Egypt Exploration Fund in 1882 in order to promote the advances in her research even further. Our “Amelia” watch sports a case of golden stainless steel, light marblewood and inked maple wood. The slim band is made of genuine green leather. EAN: # 9010631014797",https://www.world.holzkern.com/en_world/amelia-marblewood-maple.html,https://www.world.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/q/_/q_230615_amelia_fa107_1.jpg
47,Milestones 40mm Nacre & Brown,Women Watches,Watches,stainless steel in rose gold,White Nacre,749.0,Available,Enjoy the incomparably elegant look of extra-flat automatic watches! Our Milestones timepieces fit perfectly around your wrist and add inimitable elegance to your outfit. A daily reminder of your personal milestones: You have already achieved so much and can be proud of yourself! EAN: # 9010631017088,https://www.world.holzkern.com/en_world/milestones-nacre-brown.html,https://www.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/2/3/231127_1_q_milestones_perlmutt_braun_fa11.jpg
48,Mirrordance 36mm Nacre & Ceramic,Women Watches,Watches,stainless steel in dark gray,Unique mosaic of blue nacre,549.0,Available,"Discover the dreamy combination of nacre and ceramic! Our one-of-a-kind Mirrordance presents itself as an incredibly elegant contemporary, in completely glossy gray. Iridescent nacre adds an extra touch of luxury to the simple elegance of automatic and ceramic and is guaranteed to attract everyone's attention! An enchanting sight unfolds in the kaleidoscope. Crystals, mirrors, and light create artistic patterns and transport you into a vibrant world full of colors, fantasy, and fascination. EAN: # 9010631017026",https://www.world.holzkern.com/en_world/mirrordance-nacre-ceramic.html,https://www.world.holzkern.com/media/catalog/product/cache/08bea4719039e4e1a78ac506839f3f29/1/_/1_122823_1_q_mirrordance_fa10.jpg
